,Germany,India,US,United Kingdom
2020-06-13,8781,9195,118083,39339
2020-06-14,8787,9520,118430,39366
2020-06-15,8791,9900,118831,39395
2020-06-16,8800,11903,119616,39515
2020-06-17,8830,12237,120365,39625
2020-06-18,8856,12573,121066,39692
2020-06-19,8872,12948,121700,39776
2020-06-20,8883,13254,122265,39847
2020-06-21,8882,13699,122582,39878
2020-06-22,8885,14011,122961,39892
2020-06-23,8895,14476,123701,39986
2020-06-24,8914,14894,124457,40073
2020-06-25,8927,15301,125006,40172
2020-06-26,8948,15685,125636,40249
2020-06-27,8954,16095,126133,40289
2020-06-28,8957,16475,126457,40320
2020-06-29,8961,16893,126828,40341
2020-06-30,8973,17400,127382,40394
2020-07-01,8985,17834,128083,40491
2020-07-02,8994,18213,128822,40532
2020-07-03,9003,18655,129499,40581
2020-07-04,9010,19268,129801,40613
2020-07-05,9012,19693,130123,40632
2020-07-06,9016,20159,130493,40643
2020-07-07,9024,20642,131636,40697
2020-07-08,9036,21129,132478,40754
2020-07-09,9048,21604,133514,40785
2020-07-10,9054,22123,134332,40819
2020-07-11,9060,22673,135083,40836
2020-07-12,9063,23174,135557,40845
2020-07-13,9064,23727,135992,40855
2020-07-14,9068,24309,136890,40899
2020-07-15,9071,24914,137854,40925
2020-07-16,9078,25602,138821,40949
2020-07-17,9082,26273,139741,40975
2020-07-18,9083,26816,140628,40984
2020-07-19,9084,27497,141107,40995
2020-07-20,9086,28082,141639,41005
2020-07-21,9090,28732,142727,41030
2020-07-22,9095,29861,143953,41047
2020-07-23,9101,30601,145043,41056
2020-07-24,9111,31358,146135,41088
2020-07-25,9118,32060,147106,41103
2020-07-26,9118,32771,147643,41111
2020-07-27,9118,33408,148753,41114
2020-07-28,9122,34193,149970,41135
2020-07-29,9128,34955,151414,41169
2020-07-30,9134,35718,152709,41169
2020-07-31,9141,36511,153894,41189
2020-08-01,9148,37364,155013,41202
2020-08-02,9141,38135,155475,41207
2020-08-03,9148,38938,156037,41208
2020-08-04,9156,39795,157295,41226
2020-08-05,9168,40699,158708,41240
2020-08-06,9175,41585,159891,41258
2020-08-07,9183,42518,161186,41270
2020-08-08,9195,43379,162272,41273
2020-08-09,9196,44386,162845,41278
2020-08-10,9197,45257,163367,41296
2020-08-11,9201,46091,164452,41309
2020-08-12,9207,47033,165963,41329
2020-08-13,9211,48040,167003,41347
2020-08-14,9225,49036,168312,41358
2020-08-15,9231,49980,169354,41361
2020-08-16,9231,50921,169967,41366
2020-08-17,9232,51797,170439,41369
2020-08-18,9236,52888,171669,41381
2020-08-19,9243,53866,172353,41397
2020-08-20,9253,54849,173453,41403
2020-08-21,9260,55794,174549,41405
2020-08-22,9267,56706,175511,41423
2020-08-23,9269,57542,176014,41429
2020-08-24,9272,58390,176440,41433
2020-08-25,9277,59357,177659,41449
2020-08-26,9280,60472,178817,41465
2020-08-27,9285,61529,179925,41477
2020-08-28,9288,62550,180851,41486
2020-08-29,9289,63498,181814,41498
2020-08-30,9295,64469,182255,41499
2020-08-31,9298,65288,182737,41501
2020-09-01,9302,66333,183802,41504
2020-09-02,9313,67376,184855,41514
2020-09-03,9321,68472,185877,41527
2020-09-04,9322,69561,186827,41537
2020-09-05,9324,70626,187630,41549
2020-09-06,9325,71642,188066,41551
2020-09-07,9325,72775,188385,41554
2020-09-08,9329,73890,188848,41586
2020-09-09,9338,75062,189951,41594
2020-09-10,9341,76271,190859,41608
2020-09-11,9342,77472,192001,41614
2020-09-12,9347,78586,192741,41623
2020-09-13,9349,79722,193134,41628
2020-09-14,9350,80776,193554,41637
2020-09-15,9362,82066,194748,41664
2020-09-16,9368,83198,195685,41684
2020-09-17,9371,84372,196533,41705
2020-09-18,9378,85619,197489,41732
2020-09-19,9384,86752,198151,41759
2020-09-20,9386,87882,198415,41777
2020-09-21,9386,88935,198824,41788
2020-09-22,9396,90020,199847,41825
2020-09-23,9409,91149,200895,41862
2020-09-24,9428,92290,201784,41902
2020-09-25,9443,93379,202693,41936
2020-09-26,9452,94503,203457,41971
2020-09-27,9457,95542,203759,41988
2020-09-28,9460,96318,204093,42001
2020-09-29,9471,97497,204986,42072
2020-09-30,9488,98678,205892,42143
2020-10-01,9500,99773,206787,42202
2020-10-02,9508,100842,207621,42268
2020-10-03,9527,101782,208290,42317
2020-10-04,9529,102685,208660,42350
2020-10-05,9534,103569,209130,42369
2020-10-06,9546,104555,209824,42445
2020-10-07,9562,105526,210726,42515
2020-10-08,9578,106490,211700,42592
2020-10-09,9589,107416,212666,42679
2020-10-10,9604,108334,213321,42760
2020-10-11,9615,109150,213780,42825
2020-10-12,9621,109856,214172,42875
2020-10-13,9634,110586,214943,43018
2020-10-14,9677,111266,215930,43155
2020-10-15,9710,112161,216757,43293
2020-10-16,9734,112998,217683,43429
2020-10-17,9767,114031,218468,43579
2020-10-18,9777,114610,218926,43646
2020-10-19,9789,115197,219407,43726
2020-10-20,9836,115914,220337,43967
2020-10-21,9875,116616,221495,44158
2020-10-22,9905,117306,222331,44347
2020-10-23,9954,117956,223279,44571
2020-10-24,10003,118534,224235,44745
2020-10-25,10032,119014,224680,44896
2020-10-26,10056,119502,225194,44998
2020-10-27,10098,120010,226194,45365
2020-10-28,10183,120527,227203,45675
2020-10-29,10272,121090,228190,45955
2020-10-30,10349,121641,229247,46229
2020-10-31,10452,122111,230168,46555
2020-11-01,10481,122607,230659,46717
2020-11-02,10530,123097,231215,46853
2020-11-03,10661,123611,232807,47250
2020-11-04,10812,124315,233916,47742
2020-11-05,10930,124985,235074,48120
2020-11-06,11096,125562,236281,48475
2020-11-07,11226,126121,237389,48888
2020-11-08,11289,126611,237942,49044
2020-11-09,11352,127059,238700,49238
2020-11-10,11506,127571,240107,49770
2020-11-11,11767,128121,241530,50365
2020-11-12,11982,128668,242728,50928
2020-11-13,12200,129188,243925,51304
2020-11-14,12378,129635,245285,51766
2020-11-15,12485,130070,246053,51934
2020-11-16,12547,130519,246872,52147
2020-11-17,12814,130993,248576,52745
2020-11-18,13119,131578,250489,53274
2020-11-19,13370,132162,252518,53775
